brief_id,difficulty,variation,cycle,clarity,value_prop,cta,brand_voice,emotional_resonance,average_score,weakest_dimension,status,tokens_used,cost_usd
brief_001,medium,0,1,7.2,8.5,8.8,8.0,8.3,8.16,clarity,published,1500,0.0045000000000000005
brief_001,medium,1,1,8.5,8.7,9.0,7.8,8.3,8.46,brand_voice,published,1500,0.0045000000000000005
brief_001,medium,2,1,8.5,8.7,9.0,8.3,8.8,8.66,brand_voice,published,1500,0.0045000000000000005
brief_001,medium,3,1,6.5,8.0,8.5,7.0,6.0,7.2,emotional_resonance,published,1500,0.0045000000000000005
brief_001,medium,4,1,7.8,8.5,9.0,7.2,8.0,8.1,brand_voice,published,1500,0.0045000000000000005
brief_002,medium,0,1,8.5,8.8,8.0,8.2,7.8,8.26,emotional_resonance,published,1500,0.0045000000000000005
brief_002,medium,1,1,8.5,9.0,9.5,8.0,7.5,8.5,emotional_resonance,published,1500,0.0045000000000000005
brief_002,medium,2,1,8.5,8.8,9.0,8.3,7.8,8.48,emotional_resonance,published,1500,0.0045000000000000005
brief_002,medium,3,1,8.5,8.7,8.0,7.8,7.5,8.1,emotional_resonance,published,1500,0.0045000000000000005
brief_002,medium,4,1,8.5,9.0,9.5,8.0,7.5,8.5,emotional_resonance,published,1500,0.0045000000000000005
brief_003,easy,0,1,7.8,8.5,4.2,7.9,7.6,7.2,call_to_action,published,1500,0.0045000000000000005
brief_003,easy,1,1,7.5,8.0,4.5,7.5,7.0,6.9,call_to_action,below_threshold,5500,0.013575
brief_003,easy,1,2,7.5,8.0,4.5,7.5,7.0,6.9,call_to_action,below_threshold,5500,0.013575
brief_003,easy,1,3,7.8,8.5,9.0,8.0,7.5,8.16,emotional_resonance,published,5500,0.013575
brief_003,easy,2,1,7.5,8.0,4.5,7.0,6.5,6.7,call_to_action,below_threshold,3500,0.0090375
brief_003,easy,2,2,7.8,8.5,9.0,6.5,7.5,7.86,brand_voice,published,3500,0.0090375
brief_003,easy,3,1,8.5,8.0,4.5,7.5,7.8,7.26,call_to_action,published,1500,0.0045000000000000005
brief_003,easy,4,1,7.5,8.0,3.5,7.0,7.5,6.7,call_to_action,below_threshold,3500,0.0090375
brief_003,easy,4,2,7.5,8.0,4.5,7.0,7.2,6.84,call_to_action,below_threshold,3500,0.0090375
brief_004,hard,0,1,6.5,8.0,4.0,7.5,7.0,6.6,call_to_action,below_threshold,1500,0.0045000000000000005
brief_004,hard,1,1,7.5,6.0,4.5,7.0,6.5,6.3,call_to_action,below_threshold,1500,0.0045000000000000005
brief_004,hard,2,1,7.0,8.0,4.5,7.5,6.0,6.6,call_to_action,below_threshold,1500,0.0045000000000000005
brief_004,hard,3,1,,,,,,,,unresolvable,0,0.0
brief_004,hard,4,1,7.5,8.0,4.5,7.5,6.5,6.8,call_to_action,below_threshold,3500,0.0090375
brief_004,hard,4,2,6.5,8.0,8.5,7.0,7.5,7.5,clarity,published,3500,0.0090375
brief_005,medium,0,1,7.8,8.5,9.0,8.0,8.7,8.4,clarity,published,1500,0.0045000000000000005
brief_005,medium,1,1,8.3,8.7,9.0,8.5,8.8,8.66,clarity,published,1500,0.0045000000000000005
